SampleID,Problem,Solution
464,Solve for x: x + (-9) = (-5),x = 4
465,Solve for x: x*x = (64),x = -8 or x = 8
466,Solve for x: x*x = (81),x = -9 or x = 9
467,Solve for x: x*x = (64),x = -8 or x = 8
468,(-28) + (-21) + (-25) + (-26) + (1),The result of (-28) + (-21) + (-25) + (-26) + (1) is -99.
469,Solve for x: (5)*x + (-4) = (78),x = 82/5
470,(-14) + (-13) + (-23),The result of (-14) + (-13) + (-23) is -50.
471,Solve for x: (9)*x + (-15) = (-9),x = 2/3
472,Solve for x: x + (2) = (7),x = 5
473,Solve for x: x*x = (1),x = -1 or x = 1
474,(14) - (16),The result of (14) - (16) is -2.
475,(38) * (-17),The result of (38) * (-17) is -646.
476,(4) + (-44),The result of (4) + (-44) is -40.
477,Solve for x: (4)*x + (-15) = (70),x = 85/4
478,Solve for x: x*x = (16),x = -4 or x = 4
479,(-19) + (25) + (13),The result of (-19) + (25) + (13) is 19.
480,Solve for x: (2)*x + (-7) = (47),x = 27
481,Solve for x: x + (17) = (20),x = 3
482,Solve for x: x*x = (81),x = -9 or x = 9
483,Solve for x: (20)*x = (76),x = 19/5
484,(18) + (21) + (7) + (22),The result of (18) + (21) + (7) + (22) is 68.
485,Solve for x: x*x = (9),x = -3 or x = 3
486,Solve for x: (7)*x = (-56),x = -8
487,Solve for x: (2)*x = (-90),x = -45
488,Solve for x: x + (-9) = (18),x = 27
489,Solve for x: (8)*x = (-9),x = -9/8
490,(30) + (22) + (-11),The result of (30) + (22) + (-11) is 41.
491,Solve for x: x*x = (25),x = -5 or x = 5
492,(-27) + (-16) + (10) + (-17),The result of (-27) + (-16) + (10) + (-17) is -50.
493,Solve for x: x*x = (4),x = -2 or x = 2
494,Solve for x: x + (13) = (6),x = -7
495,(41) - (50),The result of (41) - (50) is -9.
496,Solve for x: x*x = (16),x = -4 or x = 4
497,(9) * (2),The result of (9) * (2) is 18.
498,(13) + (29) + (15),The result of (13) + (29) + (15) is 57.
499,Solve for x: (6)*x + (-6) = (23),x = 29/6
500,Solve for x: x*x = (4),x = -2 or x = 2
501,(21) - (-19),The result of (21) - (-19) is 40.
502,Solve for x: (7)*x + (-5) = (30),x = 5
503,(23) * (33),The result of (23) * (33) is 759.
504,Solve for x: (10)*x + (-5) = (-1),x = 2/5
505,(33) * (36),The result of (33) * (36) is 1188.
506,(-11) + (10) + (-17) + (21),The result of (-11) + (10) + (-17) + (21) is 3.
507,Solve for x: (1)*x + (7) = (5),x = -2
508,Solve for x: x*x = (4),x = -2 or x = 2
509,Solve for x: (1)*x + (-4) = (32),x = 36
510,Solve for x: (3)*x + (19) = (42),x = 23/3
511,Solve for x: (16)*x = (21),x = 21/16
512,(-13) + (-5) + (-3) + (-13) + (14),The result of (-13) + (-5) + (-3) + (-13) + (14) is -20.
513,Solve for x: (19)*x = (-66),x = -66/19
514,(20) + (22) + (-24) + (-18) + (-17),The result of (20) + (22) + (-24) + (-18) + (-17) is -17.
515,Solve for x: x + (-18) = (10),x = 28
516,(49) / (27),The result of (49) / (27) is 1.8148148148148149.
517,(15) + (-50),The result of (15) + (-50) is -35.
518,(-21) + (-19) + (-29) + (-4) + (-18),The result of (-21) + (-19) + (-29) + (-4) + (-18) is -91.
519,Solve for x: (8)*x + (5) = (77),x = 9
520,Solve for x: (16)*x = (16),x = 1
521,Solve for x: (10)*x = (22),x = 11/5
522,Solve for x: (14)*x = (63),x = 9/2
523,(4) / (40),The result of (4) / (40) is 0.1.
524,Solve for x: (1)*x + (-15) = (58),x = 73
525,Solve for x: x*x = (64),x = -8 or x = 8
526,(18) + (15) + (4),The result of (18) + (15) + (4) is 37.
527,(11) - (11),The result of (11) - (11) is 0.
528,(31) + (-28),The result of (31) + (-28) is 3.
529,(22) + (22) + (9) + (27) + (28),The result of (22) + (22) + (9) + (27) + (28) is 108.
530,(26) + (1) + (5),The result of (26) + (1) + (5) is 32.
531,Solve for x: x*x = (36),x = -6 or x = 6
532,Solve for x: x + (-16) = (-2),x = 14
533,Solve for x: x*x = (9),x = -3 or x = 3
534,(32) / (3),The result of (32) / (3) is 10.666666666666666.
535,Solve for x: x*x = (81),x = -9 or x = 9
536,Solve for x: x + (16) = (-15),x = -31
537,(-24) + (29) + (-29) + (-29) + (8),The result of (-24) + (29) + (-29) + (-29) + (8) is -45.
538,(29) + (-20) + (1),The result of (29) + (-20) + (1) is 10.
539,Solve for x: (10)*x = (74),x = 37/5
540,(7) * (36),The result of (7) * (36) is 252.
541,(31) / (4),The result of (31) / (4) is 7.75.
542,(37) / (12),The result of (37) / (12) is 3.0833333333333335.
543,Solve for x: x*x = (25),x = -5 or x = 5
544,Solve for x: (15)*x = (54),x = 18/5
545,Solve for x: (7)*x + (-12) = (75),x = 87/7
546,(15) + (-22),The result of (15) + (-22) is -7.
547,(7) + (8) + (-13) + (-2) + (-2),The result of (7) + (8) + (-13) + (-2) + (-2) is -2.
548,(33) - (-49),The result of (33) - (-49) is 82.
549,Solve for x: (5)*x + (10) = (-12),x = -22/5
550,(-28) + (-8) + (5) + (-9) + (-5),The result of (-28) + (-8) + (5) + (-9) + (-5) is -45.
551,Solve for x: x + (5) = (6),x = 1
552,Solve for x: (9)*x + (7) = (31),x = 8/3
553,Solve for x: (6)*x + (4) = (-2),x = -1
554,(17) * (-12),The result of (17) * (-12) is -204.
555,Solve for x: (1)*x + (8) = (20),x = 12
556,Solve for x: x*x = (9),x = -3 or x = 3
557,(48) * (1),The result of (48) * (1) is 48.
558,Solve for x: (4)*x = (33),x = 33/4
559,Solve for x: x*x = (49),x = -7 or x = 7
560,(40) - (-24),The result of (40) - (-24) is 64.
561,Solve for x: (7)*x + (7) = (96),x = 89/7
562,Solve for x: (9)*x + (1) = (-15),x = -16/9
563,(14) - (12),The result of (14) - (12) is 2.
564,(21) + (-17),The result of (21) + (-17) is 4.
565,(-30) + (-4) + (-20) + (2) + (7),The result of (-30) + (-4) + (-20) + (2) + (7) is -45.
566,(24) / (26),The result of (24) / (26) is 0.9230769230769231.
567,Solve for x: (3)*x + (-19) = (-7),x = 4
568,Solve for x: (4)*x = (78),x = 39/2
569,Solve for x: (3)*x + (-16) = (53),x = 23
570,Solve for x: (19)*x = (89),x = 89/19
571,(4) + (14) + (-5),The result of (4) + (14) + (-5) is 13.
572,Solve for x: x*x = (4),x = -2 or x = 2
573,Solve for x: x + (20) = (18),x = -2
574,(19) + (-5) + (-23),The result of (19) + (-5) + (-23) is -9.
575,(43) + (-41),The result of (43) + (-41) is 2.
576,Solve for x: (1)*x + (19) = (-17),x = -36
577,(20) * (0),The result of (20) * (0) is 0.
578,Solve for x: (2)*x = (39),x = 39/2
579,Solve for x: x + (6) = (12),x = 6
580,Solve for x: (10)*x + (2) = (36),x = 17/5
581,(-5) + (-23) + (26),The result of (-5) + (-23) + (26) is -2.
582,Solve for x: x + (7) = (6),x = -1
583,Solve for x: x*x = (36),x = -6 or x = 6
584,(10) + (8) + (6),The result of (10) + (8) + (6) is 24.
585,Solve for x: (6)*x + (-10) = (97),x = 107/6
586,(-5) + (17) + (-27) + (4) + (-13),The result of (-5) + (17) + (-27) + (4) + (-13) is -24.
587,Solve for x: x + (20) = (-12),x = -32
588,Solve for x: x + (16) = (-2),x = -18
589,(11) + (0) + (-1) + (9) + (-11),The result of (11) + (0) + (-1) + (9) + (-11) is 8.
590,Solve for x: x + (-15) = (-10),x = 5
591,(22) + (16) + (26),The result of (22) + (16) + (26) is 64.
592,Solve for x: x + (-10) = (0),x = 10
593,Solve for x: (14)*x = (50),x = 25/7
594,Solve for x: x*x = (81),x = -9 or x = 9
595,(28) * (9),The result of (28) * (9) is 252.
596,(25) + (15) + (19),The result of (25) + (15) + (19) is 59.
597,Solve for x: x*x = (16),x = -4 or x = 4
598,Solve for x: x*x = (9),x = -3 or x = 3
599,Solve for x: (8)*x + (-14) = (73),x = 87/8
600,Solve for x: x + (7) = (-2),x = -9
601,Solve for x: (1)*x = (74),x = 74
602,Solve for x: x*x = (81),x = -9 or x = 9
603,Solve for x: x + (-12) = (-7),x = 5
604,(15) + (11) + (-8),The result of (15) + (11) + (-8) is 18.
605,(17) * (8),The result of (17) * (8) is 136.
606,(20) + (-27) + (18) + (-10),The result of (20) + (-27) + (18) + (-10) is 1.
607,(-23) + (9) + (-6) + (-26) + (-28),The result of (-23) + (9) + (-6) + (-26) + (-28) is -74.
608,(-9) + (-25) + (-20) + (-29) + (21),The result of (-9) + (-25) + (-20) + (-29) + (21) is -62.
609,Solve for x: (10)*x + (0) = (55),x = 11/2
610,Solve for x: (7)*x + (6) = (-12),x = -18/7
611,Solve for x: x + (-14) = (20),x = 34
612,(23) + (2) + (24) + (16),The result of (23) + (2) + (24) + (16) is 65.
613,(46) * (3),The result of (46) * (3) is 138.
614,(9) + (42),The result of (9) + (42) is 51.
615,(10) + (-7) + (1),The result of (10) + (-7) + (1) is 4.
616,(-7) + (-9) + (-16) + (-25) + (12),The result of (-7) + (-9) + (-16) + (-25) + (12) is -45.
617,Solve for x: x*x = (25),x = -5 or x = 5
618,Solve for x: (3)*x + (-4) = (41),x = 15
619,Solve for x: x*x = (81),x = -9 or x = 9
620,Solve for x: (15)*x = (-82),x = -82/15
621,Solve for x: x*x = (1),x = -1 or x = 1
622,Solve for x: x*x = (36),x = -6 or x = 6
623,(-6) + (-29) + (-9) + (11) + (-18),The result of (-6) + (-29) + (-9) + (11) + (-18) is -51.
624,Solve for x: x*x = (1),x = -1 or x = 1
625,(-23) + (10) + (-12) + (5),The result of (-23) + (10) + (-12) + (5) is -20.
626,Solve for x: (20)*x = (-90),x = -9/2
627,Solve for x: (1)*x + (13) = (43),x = 30
628,(-13) + (-15) + (3) + (-14) + (-15),The result of (-13) + (-15) + (3) + (-14) + (-15) is -54.
629,Solve for x: x*x = (16),x = -4 or x = 4
630,(27) + (26) + (7) + (8) + (24),The result of (27) + (26) + (7) + (8) + (24) is 92.
631,(9) + (2) + (-26),The result of (9) + (2) + (-26) is -15.
632,Solve for x: x*x = (36),x = -6 or x = 6
633,(50) * (-16),The result of (50) * (-16) is -800.
634,Solve for x: x*x = (64),x = -8 or x = 8
635,(-28) + (7) + (3),The result of (-28) + (7) + (3) is -18.
636,Solve for x: (5)*x + (2) = (-16),x = -18/5
637,(34) + (4),The result of (34) + (4) is 38.
638,(11) + (-18),The result of (11) + (-18) is -7.
639,(5) * (-26),The result of (5) * (-26) is -130.
640,(1) + (-27) + (17) + (17),The result of (1) + (-27) + (17) + (17) is 8.
641,Solve for x: x + (4) = (10),x = 6
642,Solve for x: (6)*x + (-3) = (7),x = 5/3
643,Solve for x: x*x = (81),x = -9 or x = 9
644,Solve for x: x + (18) = (16),x = -2
645,Solve for x: x + (-1) = (-6),x = -5
646,(-7) + (-10) + (9) + (19),The result of (-7) + (-10) + (9) + (19) is 11.
647,Solve for x: (2)*x + (-19) = (80),x = 99/2
648,Solve for x: (7)*x = (-43),x = -43/7
649,Solve for x: (1)*x + (2) = (-8),x = -10
650,Solve for x: x + (-7) = (-10),x = -3
651,Solve for x: x*x = (100),x = -10 or x = 10
652,Solve for x: (5)*x + (-14) = (1),x = 3
653,(-25) + (25) + (22) + (-12),The result of (-25) + (25) + (22) + (-12) is 10.
654,Solve for x: (8)*x = (-72),x = -9
655,Solve for x: (7)*x + (1) = (75),x = 74/7
656,(7) + (11) + (-25),The result of (7) + (11) + (-25) is -7.
657,Solve for x: (10)*x + (3) = (2),x = -1/10
658,Solve for x: x + (-11) = (-12),x = -1
659,Solve for x: (10)*x + (17) = (62),x = 9/2
660,Solve for x: x + (1) = (-19),x = -20
661,Solve for x: x*x = (64),x = -8 or x = 8
662,(-24) + (6) + (2),The result of (-24) + (6) + (2) is -16.
663,Solve for x: (3)*x + (16) = (35),x = 19/3
664,Solve for x: (5)*x + (4) = (-18),x = -22/5
665,(15) + (19) + (-15),The result of (15) + (19) + (-15) is 19.
666,(28) + (-5) + (-10) + (-1) + (6),The result of (28) + (-5) + (-10) + (-1) + (6) is 18.
667,Solve for x: x*x = (9),x = -3 or x = 3
668,Solve for x: x + (-11) = (2),x = 13
669,Solve for x: x*x = (1),x = -1 or x = 1
670,(-28) + (-25) + (7) + (30),The result of (-28) + (-25) + (7) + (30) is -16.
671,(9) / (23),The result of (9) / (23) is 0.391304347826087.
672,Solve for x: x*x = (9),x = -3 or x = 3
673,Solve for x: x*x = (49),x = -7 or x = 7
674,Solve for x: (9)*x + (13) = (93),x = 80/9
675,(-5) + (26) + (-8),The result of (-5) + (26) + (-8) is 13.
676,(21) + (6) + (1) + (20) + (-8),The result of (21) + (6) + (1) + (20) + (-8) is 40.
677,Solve for x: (2)*x + (-10) = (61),x = 71/2
678,Solve for x: x + (1) = (-8),x = -9
679,(37) * (-34),The result of (37) * (-34) is -1258.
680,Solve for x: (5)*x = (-15),x = -3
681,(6) + (28),The result of (6) + (28) is 34.
682,(-29) + (12) + (29),The result of (-29) + (12) + (29) is 12.
683,Solve for x: x + (3) = (-9),x = -12
684,Solve for x: (4)*x + (9) = (51),x = 21/2
685,(10) / (11),The result of (10) / (11) is 0.9090909090909091.
686,(45) * (32),The result of (45) * (32) is 1440.
687,Solve for x: (3)*x + (-9) = (25),x = 34/3
688,Solve for x: x*x = (64),x = -8 or x = 8
689,(18) + (33),The result of (18) + (33) is 51.
690,Solve for x: x + (-15) = (-6),x = 9
691,(47) - (19),The result of (47) - (19) is 28.
692,(0) + (19) + (-28) + (-12),The result of (0) + (19) + (-28) + (-12) is -21.
693,Solve for x: (6)*x + (14) = (76),x = 31/3
694,(-22) + (-17) + (15),The result of (-22) + (-17) + (15) is -24.
695,(45) - (28),The result of (45) - (28) is 17.
696,Solve for x: x*x = (81),x = -9 or x = 9
697,(28) + (23) + (22) + (-16),The result of (28) + (23) + (22) + (-16) is 57.
698,Solve for x: (8)*x + (-17) = (83),x = 25/2
699,Solve for x: (2)*x + (20) = (13),x = -7/2
700,Solve for x: x + (1) = (20),x = 19
701,(34) + (-5),The result of (34) + (-5) is 29.
702,(26) + (3) + (-3),The result of (26) + (3) + (-3) is 26.
703,Solve for x: x + (5) = (16),x = 11
704,Solve for x: (9)*x + (-8) = (98),x = 106/9
705,(36) * (-3),The result of (36) * (-3) is -108.
706,(-10) + (8) + (19),The result of (-10) + (8) + (19) is 17.
707,(43) + (-35),The result of (43) + (-35) is 8.
708,(-2) + (14) + (-19) + (13),The result of (-2) + (14) + (-19) + (13) is 6.
709,Solve for x: (5)*x + (4) = (87),x = 83/5
710,Solve for x: x*x = (81),x = -9 or x = 9
711,Solve for x: (10)*x = (3),x = 3/10
712,Solve for x: (8)*x + (18) = (41),x = 23/8
713,Solve for x: (6)*x + (17) = (78),x = 61/6
714,Solve for x: x + (-14) = (17),x = 31
715,(-28) + (6) + (1),The result of (-28) + (6) + (1) is -21.
716,Solve for x: (16)*x = (19),x = 19/16
717,Solve for x: (20)*x = (-67),x = -67/20
718,Solve for x: x + (-15) = (8),x = 23
719,Solve for x: (1)*x + (-17) = (11),x = 28
720,(17) + (-48),The result of (17) + (-48) is -31.
721,(2) * (-7),The result of (2) * (-7) is -14.
722,(26) * (-20),The result of (26) * (-20) is -520.
723,(11) + (19) + (-14),The result of (11) + (19) + (-14) is 16.
724,Solve for x: x*x = (25),x = -5 or x = 5
725,Solve for x: (2)*x + (7) = (42),x = 35/2
726,(32) - (-18),The result of (32) - (-18) is 50.
727,Solve for x: x*x = (64),x = -8 or x = 8
728,Solve for x: (8)*x + (19) = (44),x = 25/8
729,Solve for x: (10)*x + (15) = (52),x = 37/10
730,Solve for x: (13)*x = (-48),x = -48/13
731,(17) + (0) + (-27),The result of (17) + (0) + (-27) is -10.
732,Solve for x: x*x = (64),x = -8 or x = 8
733,(16) + (30) + (29),The result of (16) + (30) + (29) is 75.
734,Solve for x: (3)*x = (93),x = 31
735,Solve for x: x + (-15) = (1),x = 16
736,Solve for x: x*x = (25),x = -5 or x = 5
737,Solve for x: x*x = (49),x = -7 or x = 7
738,Solve for x: x + (-16) = (-2),x = 14
739,Solve for x: (8)*x + (-18) = (-9),x = 9/8
740,Solve for x: x*x = (36),x = -6 or x = 6
741,Solve for x: x + (-12) = (15),x = 27
742,(2) * (20),The result of (2) * (20) is 40.
743,(5) + (-16) + (-24) + (-22),The result of (5) + (-16) + (-24) + (-22) is -57.
744,Solve for x: x*x = (100),x = -10 or x = 10
745,(41) - (-45),The result of (41) - (-45) is 86.
746,(40) + (-7),The result of (40) + (-7) is 33.
747,(43) * (43),The result of (43) * (43) is 1849.
748,Solve for x: x*x = (36),x = -6 or x = 6
749,(24) * (-33),The result of (24) * (-33) is -792.
750,(36) * (50),The result of (36) * (50) is 1800.
751,Solve for x: (1)*x + (-19) = (8),x = 27
752,(39) * (-39),The result of (39) * (-39) is -1521.
753,(26) + (7) + (25) + (6) + (18),The result of (26) + (7) + (25) + (6) + (18) is 82.
754,(8) + (46),The result of (8) + (46) is 54.
755,Solve for x: x + (17) = (-1),x = -18
756,Solve for x: (14)*x = (76),x = 38/7
757,(-12) + (-20) + (-16),The result of (-12) + (-20) + (-16) is -48.
758,Solve for x: x*x = (64),x = -8 or x = 8
759,(21) + (12) + (-15) + (2),The result of (21) + (12) + (-15) + (2) is 20.
760,(32) * (16),The result of (32) * (16) is 512.
761,Solve for x: (7)*x + (4) = (10),x = 6/7
762,Solve for x: x + (-4) = (-17),x = -13
763,Solve for x: (8)*x + (-15) = (34),x = 49/8
764,Solve for x: x + (9) = (2),x = -7
765,Solve for x: (7)*x = (-71),x = -71/7
766,(16) + (-28),The result of (16) + (-28) is -12.
767,Solve for x: (8)*x + (-19) = (69),x = 11
768,Solve for x: x + (-8) = (-5),x = 3
769,(37) - (-1),The result of (37) - (-1) is 38.
770,Solve for x: (8)*x = (-62),x = -31/4
771,(13) / (32),The result of (13) / (32) is 0.40625.
772,Solve for x: x*x = (81),x = -9 or x = 9
773,(47) / (15),The result of (47) / (15) is 3.1333333333333333.
774,(35) - (-46),The result of (35) - (-46) is 81.
775,Solve for x: (1)*x + (-20) = (3),x = 23
776,Solve for x: (5)*x + (-9) = (4),x = 13/5
777,Solve for x: x*x = (4),x = -2 or x = 2
778,Solve for x: (10)*x + (-15) = (70),x = 17/2
779,(13) + (-4) + (5),The result of (13) + (-4) + (5) is 14.
780,Solve for x: x*x = (25),x = -5 or x = 5
781,(4) / (35),The result of (4) / (35) is 0.11428571428571428.
782,Solve for x: x*x = (36),x = -6 or x = 6
783,Solve for x: x + (-15) = (6),x = 21
784,Solve for x: (20)*x = (87),x = 87/20
785,(-21) + (-11) + (3),The result of (-21) + (-11) + (3) is -29.
786,Solve for x: x + (-18) = (19),x = 37
787,(21) / (37),The result of (21) / (37) is 0.5675675675675675.
788,Solve for x: x + (-1) = (-10),x = -9
789,(23) - (9),The result of (23) - (9) is 14.
790,Solve for x: x + (-12) = (-17),x = -5
791,Solve for x: x*x = (64),x = -8 or x = 8
792,(7) + (-6) + (6) + (0) + (-23),The result of (7) + (-6) + (6) + (0) + (-23) is -16.
793,Solve for x: (8)*x + (-3) = (98),x = 101/8
794,Solve for x: (2)*x = (29),x = 29/2
795,Solve for x: (1)*x + (20) = (14),x = -6
796,(-5) + (-9) + (-15) + (-4) + (-10),The result of (-5) + (-9) + (-15) + (-4) + (-10) is -43.
797,Solve for x: x*x = (81),x = -9 or x = 9
798,Solve for x: (18)*x = (-69),x = -23/6
799,Solve for x: (4)*x + (11) = (43),x = 8
800,(3) + (16),The result of (3) + (16) is 19.
801,(-27) + (-27) + (15),The result of (-27) + (-27) + (15) is -39.
802,(-30) + (3) + (-23),The result of (-30) + (3) + (-23) is -50.
803,(-27) + (2) + (12),The result of (-27) + (2) + (12) is -13.
804,(-25) + (-22) + (-13) + (27),The result of (-25) + (-22) + (-13) + (27) is -33.
805,Solve for x: x*x = (64),x = -8 or x = 8
806,Solve for x: (7)*x + (-8) = (78),x = 86/7
807,(28) + (-8) + (20),The result of (28) + (-8) + (20) is 40.
808,Solve for x: (9)*x + (-3) = (88),x = 91/9
809,(15) + (-34),The result of (15) + (-34) is -19.
810,(14) + (23) + (3),The result of (14) + (23) + (3) is 40.
811,Solve for x: (1)*x + (-6) = (-1),x = 5
812,Solve for x: x*x = (64),x = -8 or x = 8
813,Solve for x: x + (-11) = (-13),x = -2
814,(39) / (47),The result of (39) / (47) is 0.8297872340425532.
815,(18) / (9),The result of (18) / (9) is 2.0.
816,(45) - (-18),The result of (45) - (-18) is 63.
817,(42) * (-15),The result of (42) * (-15) is -630.
818,Solve for x: (7)*x + (0) = (49),x = 7
819,Solve for x: (3)*x + (12) = (42),x = 10
820,Solve for x: (7)*x + (18) = (1),x = -17/7
821,Solve for x: x*x = (9),x = -3 or x = 3
822,(27) + (26) + (-30) + (30) + (26),The result of (27) + (26) + (-30) + (30) + (26) is 79.
823,Solve for x: (14)*x = (-69),x = -69/14
824,Solve for x: (1)*x + (3) = (68),x = 65
825,Solve for x: x*x = (49),x = -7 or x = 7
826,Solve for x: (19)*x = (98),x = 98/19
827,(15) / (28),The result of (15) / (28) is 0.5357142857142857.
828,(4) / (15),The result of (4) / (15) is 0.26666666666666666.
829,(10) + (-3) + (-26),The result of (10) + (-3) + (-26) is -19.
830,Solve for x: (8)*x + (16) = (37),x = 21/8
831,Solve for x: x*x = (36),x = -6 or x = 6
832,Solve for x: (7)*x = (-87),x = -87/7
833,Solve for x: x*x = (1),x = -1 or x = 1
834,Solve for x: (15)*x = (9),x = 3/5
835,Solve for x: (13)*x = (17),x = 17/13
836,Solve for x: (6)*x + (-20) = (6),x = 13/3
837,(26) * (24),The result of (26) * (24) is 624.
838,Solve for x: (4)*x = (-57),x = -57/4
839,Solve for x: (7)*x + (-18) = (66),x = 12
840,(5) + (22),The result of (5) + (22) is 27.
841,(-6) + (30) + (-17) + (-25),The result of (-6) + (30) + (-17) + (-25) is -18.
842,Solve for x: x*x = (49),x = -7 or x = 7
843,(13) - (-18),The result of (13) - (-18) is 31.
844,(-6) + (0) + (-13) + (25) + (-22),The result of (-6) + (0) + (-13) + (25) + (-22) is -16.
845,(15) + (-30) + (-10) + (-25),The result of (15) + (-30) + (-10) + (-25) is -50.
846,Solve for x: x*x = (49),x = -7 or x = 7
847,(-24) + (-17) + (-23) + (27) + (7),The result of (-24) + (-17) + (-23) + (27) + (7) is -30.
848,Solve for x: (15)*x = (22),x = 22/15
849,(10) + (-23) + (13),The result of (10) + (-23) + (13) is 0.
850,(34) * (18),The result of (34) * (18) is 612.
851,(12) + (17) + (-8) + (7),The result of (12) + (17) + (-8) + (7) is 28.
852,Solve for x: (3)*x + (16) = (41),x = 25/3
853,Solve for x: (4)*x + (7) = (17),x = 5/2
854,Solve for x: (9)*x + (-14) = (2),x = 16/9
855,(-14) + (22) + (2) + (-27) + (1),The result of (-14) + (22) + (2) + (-27) + (1) is -16.
856,(21) * (20),The result of (21) * (20) is 420.
857,(-7) + (21) + (-2) + (18),The result of (-7) + (21) + (-2) + (18) is 30.
858,Solve for x: (5)*x + (18) = (36),x = 18/5
859,(-14) + (-24) + (24) + (7) + (22),The result of (-14) + (-24) + (24) + (7) + (22) is 15.
860,Solve for x: x + (15) = (18),x = 3
861,Solve for x: (9)*x + (0) = (26),x = 26/9
862,(-4) + (-13) + (14),The result of (-4) + (-13) + (14) is -3.
863,Solve for x: (6)*x = (-93),x = -31/2
864,Solve for x: x*x = (1),x = -1 or x = 1
865,Solve for x: (9)*x = (74),x = 74/9
866,Solve for x: (10)*x + (4) = (15),x = 11/10
867,(25) - (11),The result of (25) - (11) is 14.
868,Solve for x: x + (-4) = (14),x = 18
869,(-25) + (12) + (13),The result of (-25) + (12) + (13) is 0.
870,(4) + (-2),The result of (4) + (-2) is 2.
871,(29) + (-1) + (30) + (4),The result of (29) + (-1) + (30) + (4) is 62.
872,Solve for x: x + (-4) = (-8),x = -4
873,Solve for x: (11)*x = (24),x = 24/11
874,Solve for x: (4)*x + (14) = (91),x = 77/4
875,(21) + (-21) + (1),The result of (21) + (-21) + (1) is 1.
876,(10) + (-23) + (-13) + (-13),The result of (10) + (-23) + (-13) + (-13) is -39.
877,(26) + (-29) + (-16) + (20) + (-5),The result of (26) + (-29) + (-16) + (20) + (-5) is -4.
878,Solve for x: (6)*x + (5) = (66),x = 61/6
879,Solve for x: x*x = (9),x = -3 or x = 3
880,Solve for x: (4)*x + (-10) = (9),x = 19/4
881,Solve for x: x + (-13) = (16),x = 29
882,(-30) + (-14) + (21),The result of (-30) + (-14) + (21) is -23.
883,(5) + (-22),The result of (5) + (-22) is -17.
884,Solve for x: x*x = (81),x = -9 or x = 9
885,(3) / (7),The result of (3) / (7) is 0.42857142857142855.
886,Solve for x: (7)*x + (18) = (33),x = 15/7
887,Solve for x: x*x = (36),x = -6 or x = 6
888,(42) / (10),The result of (42) / (10) is 4.2.
889,Solve for x: x*x = (100),x = -10 or x = 10
890,Solve for x: (6)*x = (13),x = 13/6
891,Solve for x: x*x = (49),x = -7 or x = 7
892,Solve for x: (9)*x + (15) = (18),x = 1/3
893,(-6) + (-25) + (-25) + (0),The result of (-6) + (-25) + (-25) + (0) is -56.
894,Solve for x: x + (-16) = (-17),x = -1
895,Solve for x: (3)*x + (0) = (31),x = 31/3
896,Solve for x: (5)*x + (-12) = (-1),x = 11/5
897,(35) * (-22),The result of (35) * (-22) is -770.
898,Solve for x: x*x = (25),x = -5 or x = 5
899,(17) + (-1) + (25) + (-23),The result of (17) + (-1) + (25) + (-23) is 18.
900,Solve for x: (17)*x = (-18),x = -18/17
901,Solve for x: x*x = (4),x = -2 or x = 2
902,(-6) + (5) + (15) + (15),The result of (-6) + (5) + (15) + (15) is 29.
903,Solve for x: (14)*x = (74),x = 37/7
904,(50) * (5),The result of (50) * (5) is 250.
905,(4) + (-44),The result of (4) + (-44) is -40.
906,(17) / (33),The result of (17) / (33) is 0.5151515151515151.
907,Solve for x: (2)*x + (-9) = (3),x = 6
908,(-8) + (1) + (-21),The result of (-8) + (1) + (-21) is -28.
909,Solve for x: (10)*x + (-5) = (14),x = 19/10
910,(31) - (-17),The result of (31) - (-17) is 48.
911,(36) * (-18),The result of (36) * (-18) is -648.
912,Solve for x: x + (-8) = (11),x = 19
913,(40) / (23),The result of (40) / (23) is 1.7391304347826086.
914,(-14) + (9) + (-24) + (-6),The result of (-14) + (9) + (-24) + (-6) is -35.
915,(-25) + (16) + (-6) + (24),The result of (-25) + (16) + (-6) + (24) is 9.
916,Solve for x: (4)*x + (17) = (97),x = 20
917,Solve for x: (17)*x = (72),x = 72/17
918,Solve for x: (2)*x + (-4) = (2),x = 3
919,(2) / (3),The result of (2) / (3) is 0.6666666666666666.
920,(47) * (20),The result of (47) * (20) is 940.
921,(39) / (12),The result of (39) / (12) is 3.25.
922,Solve for x: (7)*x + (-5) = (72),x = 11
923,(24) * (50),The result of (24) * (50) is 1200.
924,(29) + (-8) + (0) + (-3) + (-22),The result of (29) + (-8) + (0) + (-3) + (-22) is -4.
925,Solve for x: x*x = (100),x = -10 or x = 10
926,Solve for x: (1)*x + (1) = (-4),x = -5
927,Solve for x: (12)*x = (28),x = 7/3
928,(3) + (18) + (-13),The result of (3) + (18) + (-13) is 8.
929,Solve for x: (8)*x + (-8) = (58),x = 33/4
930,Solve for x: (19)*x = (-10),x = -10/19
931,(-28) + (1) + (28) + (12),The result of (-28) + (1) + (28) + (12) is 13.
932,Solve for x: x + (-17) = (-17),x = 0
933,Solve for x: (12)*x = (94),x = 47/6
934,Solve for x: (1)*x + (2) = (-17),x = -19
935,Solve for x: x*x = (25),x = -5 or x = 5
936,Solve for x: (3)*x + (3) = (42),x = 13
937,Solve for x: (2)*x = (-34),x = -17
938,Solve for x: x*x = (25),x = -5 or x = 5
